country,SuicideRate_BothSexes_RatePer100k_2021,SuicideRate_Male_RatePer100k_2021,SuicideRate_Female_RatePer100k_2021,SuicideRate_BothSexes_RatePer100k_2020,SuicideRate_Male_RatePer100k_2020,SuicideRate_Female_RatePer100k_2020,SuicideRate_BothSexes_RatePer100k_2019,SuicideRate_Male_RatePer100k_2019,SuicideRate_Female_RatePer100k_2019,latitude,longitude
Oman,1.04,1.49,0.33,1.05,1.49,0.34,4.9,6.8,1.0,21.0000287,57.0036901
Ireland,8.41,13.7,3.24,8.75,14.24,3.38,9.6,15.4,3.9,52.865196,-7.9794599
New Zealand,11.31,16.97,5.67,11.27,16.98,5.59,11.0,16.5,5.8,-41.5000831,172.8344077
Mauritania,3.55,4.98,2.16,3.46,4.85,2.12,3.1,4.0,2.2,20.2540382,-9.2399263
Costa Rica,9.85,17.37,2.83,8.98,15.7,2.7,8.1,14.1,2.0,10.2735633,-84.0739102
Kuwait,1.97,3.05,0.75,2.1,3.32,0.72,2.9,4.3,0.7,29.2733964,47.4979476
Panama,5.28,8.82,1.7,5.35,8.91,1.73,2.9,4.7,1.0,8.559559,-81.1308434
Croatia,14.31,22.31,6.76,14.24,22.28,6.66,16.4,25.3,8.1,45.3658443,15.6575209
Georgia,8.64,14.57,3.18,8.8,14.83,3.26,9.2,16.0,3.0,32.3293809,-83.1137366
Eritrea,9.66,14.19,4.99,9.58,14.09,4.93,10.9,16.6,5.2,15.9500319,37.9999668
Mongolia,14.59,25.68,3.77,15.94,28.08,4.1,17.9,30.7,5.4,46.8250388,103.8499736
Uruguay,21.31,36.61,7.23,20.05,34.15,7.06,21.2,34.5,8.9,-32.8755548,-56.0201525
Puerto Rico,7.1,12.68,2.05,7.15,12.78,2.06,,,,18.2247706,-66.4858295
Bosnia and Herzegovina,10.7,17.41,4.29,11.52,18.77,4.57,10.9,17.6,4.5,44.3053476,17.5961467
Qatar,3.81,5.08,0.77,3.88,5.12,0.8,5.8,7.2,1.7,25.3336984,51.2295295
Moldova,14.92,26.48,4.41,14.79,26.25,4.37,14.7,26.1,4.1,47.2879608,28.5670941
Namibia,11.57,20.03,3.61,11.66,20.2,3.61,9.7,16.7,3.2,-23.2335499,17.3231107
Armenia,5.53,8.86,2.44,5.6,8.92,2.5,3.3,5.6,1.3,40.7696272,44.6736646
Lithuania,27.91,49.96,9.07,28.07,50.46,8.93,26.1,45.4,9.6,55.3500003,23.7499997
Jamaica,1.43,2.44,0.44,1.37,2.32,0.43,2.4,3.7,1.1,18.1850507,-77.3947693
Albania,4.1,5.28,2.91,4.02,5.16,2.87,4.3,5.9,2.7,41.000028,19.9999619
Gambia,5.58,8.11,3.12,5.58,8.1,3.13,4.8,6.6,3.0,13.470062,-15.4900464
Gabon,9.67,16.72,3.12,9.82,16.96,3.17,8.4,14.2,2.4,-0.8999695,11.6899699
Botswana,9.72,15.73,3.84,9.76,15.77,3.9,16.1,26.3,6.4,-23.1681782,24.5928742
Lesotho,20.57,32.55,9.27,20.77,32.8,9.44,72.4,116.0,30.1,-29.6039267,28.3350193
Guinea-Bissau,8.49,12.74,4.44,8.58,12.87,4.49,7.0,10.2,3.9,11.815215,-15.2351044
Slovenia,17.12,28.01,6.37,17.07,27.78,6.51,19.8,31.4,8.3,46.1199444,14.8153333
Equatorial Guinea,6.89,10.29,2.85,6.86,10.26,2.85,7.9,9.4,6.0,1.613172,10.5170357
Latvia,19.42,34.67,6.39,18.74,33.36,6.28,20.1,35.5,7.0,56.8406494,24.7537645
North Macedonia,7.91,11.08,4.64,7.96,11.18,4.65,9.4,13.9,4.8,41.6171214,21.7168387
Bahrain,4.28,6.02,1.33,4.31,6.05,1.34,8.9,12.5,2.4,26.1551249,50.5344606
Trinidad and Tobago,13.82,23.21,4.4,13.93,23.4,4.42,8.7,13.9,3.6,10.7466905,-61.0840075
Timor-Leste,4.08,5.62,2.49,4.04,5.55,2.49,3.7,5.3,2.0,-8.7443169,126.063482
Estonia,15.19,25.66,5.83,15.08,25.62,5.69,14.9,24.3,6.5,58.7523778,25.3319078
Cyprus,4.04,6.48,1.67,4.01,6.33,1.75,3.6,6.0,1.3,34.9823018,33.1451285
Mauritius,10.96,18.01,4.09,11.22,18.63,3.99,9.5,16.3,2.8,-20.2759451,57.5703566
Eswatini,18.42,31.17,6.16,18.87,32.09,6.19,29.4,55.1,4.7,-26.5624806,31.3991317
Djibouti,5.63,7.67,3.25,5.62,7.68,3.22,9.6,12.6,6.4,11.8145966,42.8453061
Fiji,8.89,12.25,5.45,9.01,12.42,5.51,9.0,12.2,5.7,-18.1239696,179.0122737
Comoros,6.3,7.82,4.79,6.28,7.79,4.78,5.4,7.0,3.8,-12.2045176,44.2832964
Guyana,31.26,52.79,10.31,31.71,53.32,10.59,40.3,63.0,17.4,4.8417097,-58.6416891
Solomon Islands,18.27,27.24,8.94,18.55,27.58,9.14,14.7,27.0,1.9,-8.7053941,159.1070694
Bhutan,5.75,7.57,3.79,5.74,7.54,3.79,4.6,6.3,2.7,27.549511,90.5119273
Luxembourg,9.02,13.24,4.74,8.93,13.19,4.61,11.3,15.3,7.1,49.8158683,6.1296751
Montenegro,15.45,23.77,7.33,16.87,26.07,7.87,21.0,31.7,10.4,42.9868853,19.5180992
Suriname,23.6,37.42,10.13,25.17,40.11,10.58,25.4,38.8,11.8,4.1413025,-56.0771187
Malta,4.96,8.06,1.85,5.06,8.37,1.76,6.1,9.8,2.3,35.8885993,14.4476911
Maldives,2.22,3.33,0.44,2.12,3.2,0.43,2.7,3.9,0.8,3.7203503,73.2244152
Cape Verde,15.06,25.66,4.28,15.02,25.58,4.29,12.9,21.3,4.5,16.0000552,-24.0083947
Brunei,4.05,6.17,1.68,4.33,6.63,1.77,2.7,4.4,0.8,4.4137155,114.5653908
Belize,5.09,8.88,1.34,5.03,8.78,1.33,7.1,12.5,1.7,17.1204943,-88.6859028
Bahamas,2.61,4.75,0.62,2.61,4.74,0.61,3.5,5.9,1.3,24.7736546,-78.0000547
Iceland,12.49,19.64,5.13,12.12,19.06,5.0,11.9,19.8,3.9,64.9841821,-18.1059013
Vanuatu,16.31,25.01,7.45,16.37,25.05,7.5,18.0,28.1,7.6,-16.5255069,168.1069154
Barbados,4.67,8.22,1.36,4.79,8.43,1.41,0.6,0.9,0.3,13.1500331,-59.5250305
Sao Tome and Principe,1.15,1.77,0.52,1.13,1.73,0.52,1.5,2.2,0.8,0.9713095,7.02255
Samoa,12.18,17.11,6.95,12.27,17.21,7.04,12.6,18.0,6.7,-13.7693895,-172.12005
Saint Lucia,6.77,12.36,1.17,6.79,12.44,1.13,7.9,14.3,1.7,13.8250489,-60.975036
Guam,17.08,29.13,4.71,18.33,31.29,4.97,,,,13.4499943,144.7651677
Kiribati,17.29,30.08,5.02,17.4,30.26,5.05,28.3,48.6,8.7,0.3448612,173.6641773
Seychelles,5.77,9.92,1.13,7.3,12.64,1.35,8.1,14.4,1.4,-4.6574977,55.4540146
Grenada,4.63,7.32,1.8,4.65,7.35,1.83,0.7,0.6,0.7,12.1360374,-61.6904045
Micronesia,20.17,30.72,9.2,20.16,30.65,9.26,28.2,43.2,12.7,8.6062347,151.8327443
Tonga,4.64,5.97,3.31,4.62,5.93,3.31,3.8,5.0,2.6,-19.9160819,-175.202642
Saint Vincent and the Grenadines,6.19,11.19,0.97,6.12,11.06,0.96,1.0,1.3,0.6,12.90447,-61.2765569
Antigua and Barbuda,1.38,2.5,0.3,1.49,2.74,0.29,0.4,,0.8,17.2234721,-61.9554608
United States Virgin Islands,7.02,12.76,1.6,8.14,14.81,1.86,,,,17.789187,-64.7080574
Andorra,7.89,12.22,3.31,7.92,12.26,3.33,,,,42.5407167,1.5732033
Dominica,4.23,7.46,0.89,4.18,7.38,0.88,,,,15.4113138,-61.3653618
Bermuda,3.99,7.06,1.11,3.72,6.58,1.04,,,,32.3040273,-64.7563086
Greenland,59.62,86.96,29.4,64.6,94.39,31.59,,,,77.6192349,-42.8125967
Saint Kitts and Nevis,2.85,4.96,0.74,2.8,4.87,0.73,,,,17.250512,-62.6725973
American Samoa,8.04,11.97,3.93,8.46,12.59,4.14,,,,-14.297124,-170.7131481
Northern Mariana Islands,15.59,24.66,5.55,13.21,19.87,5.84,,,,15.1753648,145.7379338
Monaco,15.42,21.33,9.84,15.5,21.42,9.9,,,,43.7323492,7.4276832
Marshall Islands,20.04,29.01,10.65,20.11,29.07,10.71,,,,8.230817,167.7953224
San Marino,7.59,12.19,3.28,8.01,12.87,3.45,,,,43.9458623,12.458306
Palau,14.99,17.12,12.39,15.04,17.22,12.38,,,,5.3783537,132.9102573
Cook Islands,9.17,14.39,3.95,11.63,18.3,5.32,,,,-19.9969716,-157.7858714
Nauru,23.55,35.11,11.79,23.66,35.25,11.86,,,,-0.5252306,166.9324426
Tuvalu,16.49,23.79,8.56,16.61,23.92,8.68,,,,-8.6405212,179.1582918
Tokelau,15.83,19.54,11.97,15.95,19.71,12.05,,,,-9.1676396,-171.819687
Niue,15.59,20.62,10.51,15.63,20.66,10.54,,,,-19.0536414,-169.861341
